p    instance      rep time    iterations  value     
0.00 bqp50-1       1   45.65   80          -1074     
0.00 bqp50-1       2   59.41   55          -1007     
0.00 bqp50-1       3   55.23   45          -1051     
0.00 bqp50-1       4   42.34   44          -582      
0.00 bqp50-1       5   56.51   52          -988      
0.00 bqp100-1      1   59.97   14          2128      
0.00 bqp100-1      2   69.67   15          -499      
0.00 bqp100-1      3   62.20   12          332       
0.00 bqp100-1      4   24.13   11          -403      
0.00 bqp100-1      5   62.78   14          -1210     
0.00 bqp250-1      1   117.05  214         -24616    
0.00 bqp250-1      2   117.20  213         -21226    
0.00 bqp250-1      3   119.71  202         -21763    
0.00 bqp250-1      4   116.09  215         -18876    
0.00 bqp250-1      5   116.13  192         -18450    
0.00 bqp500-1      1   120.11  94          -15854    
0.00 bqp500-1      2   121.05  103         -10548    
0.00 bqp500-1      3   120.18  88          -11775    
0.00 bqp500-1      4   119.28  115         -16004    
0.00 bqp500-1      5   120.52  97          -17139    
0.05 bqp50-1       1   3.39    4651        -1922     
0.05 bqp50-1       2   2.05    4925        -1641     
0.05 bqp50-1       3   3.34    4564        -1740     
0.05 bqp50-1       4   3.30    4636        -1781     
0.05 bqp50-1       5   3.38    4620        -1799     
0.05 bqp100-1      1   20.38   1265        -7099     
0.05 bqp100-1      2   54.03   1267        -7470     
0.05 bqp100-1      3   30.76   1248        -7433     
0.05 bqp100-1      4   30.42   1244        -7685     
0.05 bqp100-1      5   35.05   1237        -7565     
0.05 bqp250-1      1   119.48  604         -36541    
0.05 bqp250-1      2   119.83  554         -35926    
0.05 bqp250-1      3   118.58  605         -37619    
0.05 bqp250-1      4   119.12  635         -36837    
0.05 bqp250-1      5   118.50  635         -33951    
0.05 bqp500-1      1   120.91  183         -38631    
0.05 bqp500-1      2   117.88  201         -31584    
0.05 bqp500-1      3   118.52  208         -27971    
0.05 bqp500-1      4   119.49  183         -22481    
0.05 bqp500-1      5   117.98  204         -36163    
0.25 bqp50-1       1   0.49    22463       -1729     
0.25 bqp50-1       2   0.37    21958       -1798     
0.25 bqp50-1       3   0.51    22564       -1422     
0.25 bqp50-1       4   0.51    21963       -1908     
0.25 bqp50-1       5   0.72    23103       -1832     
0.25 bqp100-1      1   4.20    6349        -7129     
0.25 bqp100-1      2   8.41    6103        -7612     
0.25 bqp100-1      3   8.20    6045        -7435     
0.25 bqp100-1      4   2.95    6011        -6399     
0.25 bqp100-1      5   7.62    6186        -7201     
0.25 bqp250-1      1   116.05  2300        -44985    
0.25 bqp250-1      2   101.45  2223        -44348    
0.25 bqp250-1      3   74.68   3341        -44280    
0.25 bqp250-1      4   78.23   2778        -43806    
0.25 bqp250-1      5   119.46  2285        -44552    
0.25 bqp500-1      1   120.16  617         -73521    
0.25 bqp500-1      2   118.68  631         -70804    
0.25 bqp500-1      3   119.75  923         -84625    
0.25 bqp500-1      4   119.34  771         -80478    
0.25 bqp500-1      5   119.79  615         -71407    
0.50 bqp50-1       1   0.40    45319       -1571     
0.50 bqp50-1       2   0.48    46019       -2020     
0.50 bqp50-1       3   0.10    42464       -1746     
0.50 bqp50-1       4   0.46    45064       -1760     
0.50 bqp50-1       5   0.15    45363       -1982     
0.50 bqp100-1      1   4.06    12479       -7404     
0.50 bqp100-1      2   2.97    12297       -7238     
0.50 bqp100-1      3   3.58    11699       -6882     
0.50 bqp100-1      4   3.77    12471       -7178     
0.50 bqp100-1      5   1.54    12631       -6805     
0.50 bqp250-1      1   53.62   4561        -44635    
0.50 bqp250-1      2   78.06   6570        -44299    
0.50 bqp250-1      3   33.45   9064        -45431    
0.50 bqp250-1      4   35.59   9092        -44880    
0.50 bqp250-1      5   41.50   9537        -45273    
0.50 bqp500-1      1   117.19  1172        -91429    
0.50 bqp500-1      2   119.34  2116        -106375   
0.50 bqp500-1      3   118.59  2385        -109967   
0.50 bqp500-1      4   114.00  2399        -112505   
0.50 bqp500-1      5   119.82  2394        -108694   
0.75 bqp50-1       1   0.23    69638       -1828     
0.75 bqp50-1       2   0.23    67540       -1910     
0.75 bqp50-1       3   0.16    68569       -1211     
0.75 bqp50-1       4   0.13    66610       -1946     
0.75 bqp50-1       5   0.16    68326       -1832     
0.75 bqp100-1      1   1.34    18656       -7574     
0.75 bqp100-1      2   2.37    18332       -7483     
0.75 bqp100-1      3   1.48    18814       -6976     
0.75 bqp100-1      4   1.07    18387       -7509     
0.75 bqp100-1      5   1.78    19312       -7603     
0.75 bqp250-1      1   25.98   14126       -43717    
0.75 bqp250-1      2   18.24   14153       -45262    
0.75 bqp250-1      3   20.47   14037       -45196    
0.75 bqp250-1      4   21.96   13939       -45431    
0.75 bqp250-1      5   29.48   14263       -45434    
0.75 bqp500-1      1   118.56  3581        -110916   
0.75 bqp500-1      2   120.00  3581        -112927   
0.75 bqp500-1      3   119.31  3531        -114302   
0.75 bqp500-1      4   119.12  3440        -111779   
0.75 bqp500-1      5   110.11  3626        -113262   
1.00 bqp50-1       1   0.14    90551       -1914     
1.00 bqp50-1       2   0.10    92315       -1294     
1.00 bqp50-1       3   0.19    91840       -1293     
1.00 bqp50-1       4   0.13    166488      -1311     
1.00 bqp50-1       5   0.14    111769      -1966     
1.00 bqp100-1      1   0.92    32335       -7492     
1.00 bqp100-1      2   1.43    45527       -7232     
1.00 bqp100-1      3   1.57    24868       -7260     
1.00 bqp100-1      4   1.63    24831       -7350     
1.00 bqp100-1      5   1.93    25062       -7063     
1.00 bqp250-1      1   13.96   19137       -44717    
1.00 bqp250-1      2   15.99   18034       -44893    
1.00 bqp250-1      3   13.89   17818       -45264    
1.00 bqp250-1      4   13.35   17886       -45391    
1.00 bqp250-1      5   13.53   17951       -44912    
1.00 bqp500-1      1   114.20  4696        -112113   
1.00 bqp500-1      2   119.29  4532        -112356   
1.00 bqp500-1      3   119.60  4491        -112279   
1.00 bqp500-1      4   107.12  4492        -111976   
1.00 bqp500-1      5   114.99  4512        -113387 
