alg      instance      rep    t      p   i         
gsat     flat50-1      1      181.60 320 142071    
gsat     flat50-1      2      116.79 325 66926     
gsat     flat50-1      3      278.62 235 167636    
alg      instance      rep    t      p   i         
alg      instance      rep    t      p   i         
alg      instance      rep    t      p   i         
gsat     flat50-1      4      284.30 317 187068    
gsat     par8-5-c      1      300.14 0   63675     
gsat     flat75-1      1      300.86 0   170775    
gsat     flat100-1     1      300.59 0   169200    
gsat     flat50-1      5      212.75 343 134894    
gsat     par8-5-c      2      300.89 0   63675     
gsat     flat75-1      2      300.59 0   167400    
gsat     flat100-1     2      301.48 0   169200    
gsat     flat50-1      6      300.12 0   190800    
gsat     par8-5-c      3      300.19 0   62100     
gsat     flat75-1      3      300.55 0   167400    
gsat     flat100-1     3      301.12 0   168300    
gsat     flat50-1      7      300.49 0   194850    
gsat     par8-5-c      4      217.02 86  43737     
gsat     flat75-1      4      300.33 0   162000    
gsat     flat100-1     4      300.10 0   164700    
gsat     flat50-1      8      300.09 0   187650    
gsat     par8-5-c      5      300.92 0   60300     
gsat     flat50-1      9      260.71 156 163957    
gsat     flat75-1      5      300.18 0   161325    
gsat     flat100-1     5      300.82 0   167400    
gsat     flat50-1      10     142.01 401 89952     
gsat     par8-5-c      6      300.63 0   62100     
gsat     par8-5-c      7      5.93   99  1225      
gsat     flat75-1      6      300.58 0   165375    
gsat     flat100-1     6      300.25 0   166500    
gsat     flat50-1      11     300.41 0   185850    
gsat     par8-5-c      8      280.31 131 56607     
gsat     flat75-1      7      300.69 0   167400    
gsat     flat100-1     7      301.20 0   169200    
gsat     flat50-1      12     227.26 54  144505    
gsat     par8-5-c      9      300.73 0   64800     
alg      instance      rep    t      p   i         
alg      instance      rep    t      p   i         
gsat     test          1      0.00   4   5         
gsat     test          2      0.00   0   1         
gsat     test          3      0.00   1   2         
gsat     test          4      0.00   0   1         
gsat     test          5      0.00   0   1         
gsat     test          6      0.00   1   2         
gsat     test          7      0.00   0   1         
gsat     test          8      0.00   0   1         
gsat     test          9      0.00   0   1         
gsat     test          10     0.00   1   2         
gsat     test          11     0.00   0   1         
gsat     test          12     0.00   1   2         
gsat     test          13     0.00   1   2         
gsat     test          14     0.00   2   3         
alg      instance      rep    t      p   i         
gsat     test          1      0.00   0   1         
gsat     test          2      0.00   1   2         
gsat     test          3      0.00   2   3         
gsat     test          4      0.00   1   2         
gsat     test          5      0.00   0   1         
gsat     test          6      0.00   1   2         
gsat     test          7      0.00   1   2         
gsat     test          8      0.00   0   1         
gsat     test          9      0.00   1   2         
gsat     test          10     0.00   1   2         
gsat     test          11     0.00   1   2         
gsat     test          12     0.00   4   5         
gsat     test          13     0.00   2   3         
gsat     test          14     0.00   4   5         
alg      instance      rep    t      p   i         
gsat     test          1      0.00   2   3         
gsat     test          2      0.00   6   7         
gsat     test          3      0.00   0   13        
gsat     test          4      0.00   7   8         
gsat     test          5      0.00   1   2         
gsat     test          6      0.00   1   2         
gsat     test          7      0.00   1   2         
gsat     test          8      0.00   4   5         
gsat     test          9      0.00   2   3         
gsat     test          10     0.00   2   3         
gsat     test          11     0.00   0   1         
