alg      instance      rep    t      p   i         
walksat  flat50-1      1      75.85  136 805637    
walksat  flat50-1      2      14.74  397 157898    
walksat  flat50-1      3      28.05  162 299863    
walksat  flat50-1      4      63.36  166 677417    
walksat  flat50-1      5      82.25  365 879666    
walksat  flat50-1      6      95.88  123 1025224   
walksat  flat50-1      7      103.58 205 1108556   
walksat  flat50-1      8      63.58  160 664811    
walksat  flat50-1      9      62.76  232 599183    
walksat  flat50-1      10     91.70  74  882975    
walksat  flat50-1      11     15.90  345 128596    
walksat  flat50-1      12     14.97  260 116811    
walksat  flat50-1      13     89.61  135 726886    
walksat  flat50-1      14     33.94  78  245329    
walksat  flat50-1      15     60.55  341 542592    
walksat  par8-5-c      1      434.45 90  1397791   
walksat  par8-5-c      2      45.03  45  138871    
walksat  par8-5-c      3      32.97  38  103764    
walksat  par8-5-c      4      600.04 0   1957275   
walksat  par8-5-c      5      136.19 42  439918    
walksat  par8-5-c      6      69.52  43  229769    
walksat  par8-5-c      7      568.61 18  1901269   
walksat  par8-5-c      8      49.53  148 165749    
walksat  par8-5-c      9      49.43  46  163397    
walksat  par8-5-c      10     600.00 0   1981575   
walksat  par8-5-c      11     600.04 0   1962000   
walksat  par8-5-c      12     54.76  74  179850    
walksat  par8-5-c      13     600.05 0   1977300   
walksat  par8-5-c      14     600.02 0   1975275   
walksat  par8-5-c      15     106.02 51  354202    
walksat  flat75-1      1      600.03 0   5584275   
walksat  flat75-1      2      600.02 0   5642325   
walksat  flat75-1      3      600.03 0   5751000   
walksat  flat75-1      4      600.07 0   5679450   
walksat  flat75-1      5      600.00 0   5568075   
walksat  flat75-1      6      600.03 0   5625450   
walksat  flat75-1      7      600.01 0   5576175   
walksat  flat75-1      8      600.03 0   5827950   
walksat  flat75-1      9      600.05 0   5950125   
walksat  flat75-1      10     600.05 0   5985225   
walksat  flat75-1      11     600.04 0   5992650   
walksat  flat75-1      12     600.01 0   5993325   
walksat  flat75-1      13     600.04 0   5992650   
walksat  flat75-1      14     600.02 0   5996025   
walksat  flat75-1      15     600.01 0   5996700
walksat  flat100-1     1      600.01 0   5632200   
walksat  flat100-1     2      600.03 0   5580000   
walksat  flat100-1     3      600.01 0   5725800   
walksat  flat100-1     4      600.01 0   5675400   
walksat  flat100-1     5      600.03 0   5564700   
walksat  flat100-1     6      600.06 0   5638500   
walksat  flat100-1     7      600.04 0   5689800   
walksat  flat100-1     8      600.02 0   5848200   
walksat  flat100-1     9      600.05 0   5996700   
walksat  flat100-1     10     600.05 0   6023700   
walksat  flat100-1     11     600.06 0   6027300   
walksat  flat100-1     12     600.00 0   6007500   
walksat  flat100-1     13     600.07 0   6009300   
walksat  flat100-1     14     600.05 0   6014700   
walksat  flat100-1     15     600.04 0   6009300   
